,School Name,Coordinates,Address,School Type,latitude,longitude
346,مسجد الديره,"'24.6336174', '46.7053499'",2364 فياضة، الديرة، الرياض 12633 7195,Mosque,24.6336174,46.7053499
347,Sheikh Muhammad bin Ibrahim Mosque,"'24.6275055', '46.7119561'","JPH6+2W2, Al Madina Al Munawwarah Rd, Ad Dirah, Riyadh 12652",Mosque,24.6275055,46.7119561
348,مسجد الامير منصور,"'24.635129', '46.7110205'","JPP6+3G4، الديرة،, Riyadh",Mosque,24.635129,46.7110205
349,Inam Ul Rub Mosque,"'24.6699627', '46.708548'","Inam Ul Rub Mosque, Al Murabba, Riyadh 12626",Mosque,24.6699627,46.708548
350,Inam Ul Rub Mosque,"'24.6699627', '46.708548'","Inam Ul Rub Mosque, Al Murabba, Riyadh 12626",Mosque,24.6699627,46.708548
351,جامع الغامدي - Masjid Al Ghamdi,"'24.6713527', '46.71257'","3356 Al Qairawani, Al Wizarat, 6733, Riyadh 12626",Mosque,24.6713527,46.71257
352,Hara Jumuah Masjid হারা জুমুআ মসজিদ Eidgah Point 🌙,"'24.6700079', '46.7087227'","Inam Ul Rub Mosque, Al Murabba, Riyadh 12626",Mosque,24.6700079,46.7087227
353,جامع حي الضباط,"'24.6821814', '46.7195011'","7939 Al Amirah Sarah Bint Ahmad As Sadiri Ad Dhubbat Riyadh 12623 4041 Al Amirah Sarah Bint Ahmad As Sadiri, 4041, Ad Dhubbat, Riyadh 12623",Mosque,24.6821814,46.7195011
354,جامع حي الضباط,"'24.6821814', '46.7195011'","7939 Al Amirah Sarah Bint Ahmad As Sadiri Ad Dhubbat Riyadh 12623 4041 Al Amirah Sarah Bint Ahmad As Sadiri, 4041, Ad Dhubbat, Riyadh 12623",Mosque,24.6821814,46.7195011
355,Iqraa Mosque,"'24.6827146', '46.7219996'","MPMC+3WM, Al Harith Ibn Al Habbab, Ad Dhubbat, Riyadh 12623",Mosque,24.6827146,46.7219996
356,جامِع طَارق بن عَبدالرّحمـٰن مُرَاد | حي الضباط,"'24.6813659', '46.7238686'","7862 Abi Barzah Al Aslami, 4478, Ad Dhubbat, Riyadh 12623",Mosque,24.6813659,46.7238686
357,مسجد,"'24.6901674', '46.720787'","MPRC+3C8, Al Harith Ibn Al Habbab, Ad Dhubbat, Riyadh 12623",Mosque,24.6901674,46.720787
358,Masjid Almurabba,"'24.6675776', '46.7036576'","3409 الحسناء، المربع، الرياض 12612 7868 Al Hasana, 7868, Al Murabba, Riyadh 12612",Mosque,24.6675776,46.7036576
359,Inam Ul Rub Mosque,"'24.6699627', '46.708548'","Inam Ul Rub Mosque, Al Murabba, Riyadh 12626",Mosque,24.6699627,46.708548
360,King Abdulaziz Grand Mosque,"'24.6456592', '46.708825'","حي، 8745 الملك سعود, Al Murabba، 2722, Riyadh 12631",Mosque,24.6456592,46.708825
361,Al-Madi Park Mosque,"'24.6474608', '46.7119766'","حي، 8745 الملك سعود, Al Murabba، 2722, Riyadh 12631",Mosque,24.6474608,46.7119766
362,جامع عمر بن الخطاب رضي الله عنه حي الخالدية مدينة الرياض,"'24.6242163', '46.7533041'","Al Khalifah Al Maamoun, Al Khalidiyyah, حي, Riyadh 11414",Mosque,24.6242163,46.7533041
363,مسجد الصِّغَيِّر,"'24.6224361', '46.7539086'","7105 الخليفة المامون، الخالدية، الرياض 12875 3807 الخليفة المامون، 3807, Al Khalidiyyah, Riyadh 12875",Mosque,24.6224361,46.7539086
364,جامع طيبة,"'24.6305049', '46.7507922'","JQJ2+6C4، شارع الخليفة المأمون، حي الخالدية, Al Khalidiyyah, Riyadh 12873",Mosque,24.6305049,46.7507922
365,Al-Madi Park Mosque,"'24.6474608', '46.7119766'","حي، 8745 الملك سعود, Al Murabba، 2722, Riyadh 12631",Mosque,24.6474608,46.7119766
366,King Abdulaziz Grand Mosque,"'24.6456592', '46.708825'","حي، 8745 الملك سعود, Al Murabba، 2722, Riyadh 12631",Mosque,24.6456592,46.708825
367,Al-Madi Park Mosque,"'24.6474608', '46.7119766'","حي، 8745 الملك سعود, Al Murabba، 2722, Riyadh 12631",Mosque,24.6474608,46.7119766
368,Al-Murabba Mosque,"'24.645584', '46.7091784'","8654 Al Amir Abdullah Ibn Jalawi Ibn Turki, Al Murabba, Riyadh 12631",Mosque,24.645584,46.7091784
369,جامع حي الملك عبدالعزيز,"'24.6976046', '46.7193226'","4080 Al Kitab, King Abdul Aziz، 4080 الكتاب، الملك عبدالعزيز، الرياض 12233 7605،, Riyadh 12233",Mosque,24.6976046,46.7193226
370,جامع حي الملك عبدالعزيز,"'24.6976045', '46.7193226'","4080 Al Kitab, King Abdul Aziz، 4080 الكتاب، الملك عبدالعزيز، الرياض 12233 7605،, Riyadh 12233",Mosque,24.6976045,46.7193226
371,Masjid aleuz bin eabd alsalam,"'24.6982069', '46.7135227'","3491 Prince Musaad Bin Abdulaziz St، 7651, Riyadh 12233",Mosque,24.6982069,46.7135227
372,Masjid Alfaisaluah,"'24.6799813', '46.731429'","6161 Abi Ar Rida Al Muqri, 2887, Az Zahra, Riyadh 12812",Mosque,24.6799813,46.731429
373,Al Eiman Mosque,"'24.6935372', '46.7081836'","MPV5+C99, Sulaimaniyah, Riyadh 12232",Mosque,24.6935372,46.7081836
374,Al Eiman Mosque,"'24.6935372', '46.7081836'","MPV5+C99, Sulaimaniyah, Riyadh 12232",Mosque,24.6935372,46.7081836
375,مسجد العرفج,"'24.6937285', '46.7041375'","2547, As Sulimaniyah، 7075-7105 الشامية،, Riyadh 12232",Mosque,24.6937285,46.7041375
376,King Fahad Grand Mosque,"'24.6712784', '46.6576508'","MMC5+G58, Al Hada, Riyadh 12722",Mosque,24.6712784,46.6576508
377,Al Ihsan Mosque,"'24.6930876', '46.7018093'","MPV2+6RQ, As Sulimaniyah, Riyadh 12232",Mosque,24.6930876,46.7018093
378,جامع عبد العزيز بن عبد الكريم المعيوف,"'24.6857689', '46.7136275'","8248 Safwan Ibn Ummiyyah, 3427, Al Wizarat, Riyadh 12622",Mosque,24.6857689,46.7136275
379,Al - Mallouhi Mosque,"'24.6946496', '46.6872248'","MMVQ+V22, Al Jabiri, Al Olaya, Riyadh 12222",Mosque,24.6946496,46.6872248
380,Khalid Bin Alwaleed Mosque,"'24.692495', '46.6988004'","3558 Ahmad At Tartush, 7384, Al Olaya, Riyadh 12221",Mosque,24.692495,46.6988004
381,King Khalid Mosque,"'24.6910539', '46.6889951'","Prince Sultan Bin Abdulaziz Rd, Al Olaya, Riyadh 12222",Mosque,24.6910539,46.6889951
382,King Khalid Mosque,"'24.6910539', '46.6889951'","Prince Sultan Bin Abdulaziz Rd, Al Olaya, Riyadh 12222",Mosque,24.6910539,46.6889951
383,King Abdulaziz Mosque,"'24.6880978', '46.6882006'","MMQQ+69Q, Olaya St, Al Olaya, Riyadh 12221",Mosque,24.6880978,46.6882006
384,AlRawi Grand Mosque,"'24.6968952', '46.6862943'","Al Karimi, Al Olaya, Riyadh 12222",Mosque,24.6968952,46.6862943
385,mosque,"'24.6910277', '46.6937603'","7180 الجريري، العليا الرياض 12221 3026 Al Jariri, 3026, Al Olaya, Riyadh 12221",Mosque,24.6910277,46.6937603
386,Princess Anoud Mosque,"'24.688888', '46.6951232'","MMQW+H53, Soufian Al Thawri, Al Olaya, Riyadh 12221",Mosque,24.688888,46.6951232
387,mosque,"'24.6910277', '46.6937603'","7180 الجريري، العليا الرياض 12221 3026 Al Jariri, 3026, Al Olaya, Riyadh 12221",Mosque,24.6910277,46.6937603
388,King Khalid Mosque,"'24.6910539', '46.6889951'","Prince Sultan Bin Abdulaziz Rd, Al Olaya, Riyadh 12222",Mosque,24.6910539,46.6889951
389,Badr Mosque,"'24.6943628', '46.6921637'","7578 Shuja Ibn Wahb, Al Olaya, Riyadh 12222 2872 Shouja Ibn Wahb, 2872, Al Olaya, Riyadh 12222",Mosque,24.6943628,46.6921637
390,AlRawi Grand Mosque,"'24.6968952', '46.6862943'","Al Karimi, Al Olaya, Riyadh 12222",Mosque,24.6968952,46.6862943
391,Badr Mosque,"'24.6943628', '46.6921637'","7578 Shuja Ibn Wahb, Al Olaya, Riyadh 12222 2872 Shouja Ibn Wahb, 2872, Al Olaya, Riyadh 12222",Mosque,24.6943628,46.6921637
392,Sheikh Mohammed Bin Abdulaziz Alrajhi Mosque,"'24.6384707', '46.6647868'","JMQ8+92P, Ibn Al Zorieqan, Ar Rafiah, Riyadh 12753",Mosque,24.6384707,46.6647868
393,King Khalid Mosque,"'24.6910539', '46.6889951'","Prince Sultan Bin Abdulaziz Rd, Al Olaya, Riyadh 12222",Mosque,24.6910539,46.6889951
394,Fatima Zahra Masjid,"'24.7423005', '46.6870156'","PMRP+WWG, Abi Dajanah, Al Mursilat, Riyadh 12461",Mosque,24.7423005,46.6870156
395,Fatma Alzahraa mosque,"'24.7700648', '46.7049408'","QPC4+23H, At Taawun, Riyadh 12476",Mosque,24.7700648,46.7049408
396,مسجد الزهرة,"'24.6704076', '46.7367488'","7073 Al Ihsaa, Al Malaz, Riyadh 12836",Mosque,24.6704076,46.7367488
397,An Nada Mosque,"'24.8019409', '46.6931257'","RM2V+Q9F, An Nada, Riyadh 13317",Mosque,24.8019409,46.6931257
398,جامع منيرة حمد الشبيلي,"'24.8053255', '46.7091016'","3333 الامير سعود بن محمدبن مقرن, Al Falah, 8241, Riyadh 13314",Mosque,24.8053255,46.7091016
399,Riadh AlSaliheen Mosque,"'24.7524881', '46.6597738'","3001 Ibn Ziad, Al Muruj, Riyadh 12281",Mosque,24.7524881,46.6597738
400,جامع رياض الصالحين بحي النخيل الشرقي بمدينة الرياض,"'24.7551669', '46.6432657'","4657 الشيخ علي الحمد الصالحي، النخيل الرياض 12383 8208 Al Cheikh Ali Al Hamad Al Salihi, 8208, An Nakheel, Riyadh 12383",Mosque,24.7551669,46.6432657
401,Haya Abdullah Hussein Mosque,"'24.7982253', '46.7060486'","QPX4+7GX, Al Falah, Riyadh 13314",Mosque,24.7982253,46.7060486
402,Ghazzawi Mosque.,"'24.6621614', '46.7248978'","MP6G+V38, Zarqa Al Yamamah, Al Malaz, Riyadh 12629",Mosque,24.6621614,46.7248978
403,جامع الشيخ عبد العزيز البراهيم,"'24.684858', '46.7288631'","MPMH+WMV، شارع أصفانة، حي الملز, Az Zahra, Riyadh 12812",Mosque,24.684858,46.7288631
404,مسجد الهاجري بحي الملز,"'24.6731774', '46.732821'","7374 Abi Al Ala Al Maari, 2689, Al Malaz، 7374 ابي العلاء المعري، الملز، الرياض 12831 2689, Riyadh 12831",Mosque,24.6731774,46.732821
405,Almalz Masjid جامع الملز,"'24.6706974', '46.7287256'","MPCH+7JC, Al Malaz, Riyadh 12831",Mosque,24.6706974,46.7287256
406,Almalz Masjid جامع الملز,"'24.6706974', '46.7287256'","MPCH+7JC, Al Malaz, Riyadh 12831",Mosque,24.6706974,46.7287256
407,مسجد حديقة أبو مخروق,"'24.6726412', '46.7262714'","4741 Arafat, Ad Dhubbat, Riyadh 12627",Mosque,24.6726412,46.7262714
408,مسجد الهاجري بحي الملز,"'24.6731774', '46.732821'","7374 Abi Al Ala Al Maari, 2689, Al Malaz، 7374 ابي العلاء المعري، الملز، الرياض 12831 2689, Riyadh 12831",Mosque,24.6731774,46.732821
409,Prince Bandar Mosque,"'24.6709146', '46.7418262'","MPCR+9R9, Amir Ibn Thabit, Al Malaz, Riyadh 12836",Mosque,24.6709146,46.7418262
410,Mosque AlFaruq,"'24.6505062', '46.7604364'","MQ26+675, Hamad Ibn Atiq, Al Faruq, Riyadh 12861",Mosque,24.6505062,46.7604364
411,جامع الأمير متعب بن عبدالعزيز حي الفاروق,"'24.652589', '46.7568489'",7308، 2260 ابي محمد بن حمدان، الفاروق، الرياض 12861 7308، 12861,Mosque,24.652589,46.7568489
412,Prince Bandar Mosque,"'24.6709146', '46.7418262'","MPCR+9R9, Amir Ibn Thabit, Al Malaz, Riyadh 12836",Mosque,24.6709146,46.7418262
413,جامع الحبيب,"'24.650488', '46.7644862'",3042 ابي عبدالله محمد ايوب، الفاروق الرياض 12861 7094 12861,Mosque,24.650488,46.7644862
414,جامع المرقب القديم,"'24.6338097', '46.721084'","2650 برهان الدين الداراني، حي, Almarqab، 6427, Riyadh 12645",Mosque,24.6338097,46.721084
415,جامع الحبيب,"'24.650488', '46.7644862'",3042 ابي عبدالله محمد ايوب، الفاروق الرياض 12861 7094 12861,Mosque,24.650488,46.7644862
416,مسجد الشعبة بحي المرقب,"'24.6361939', '46.7217584'","JPPC+FRF, Almarqab, Riyadh 12645",Mosque,24.6361939,46.7217584
417,مسجد سوق المرقب,"'24.6354565', '46.720635'",6599، 2596 عمرو بن مسعود، المرقب الرياض 12645,Mosque,24.6354565,46.720635
418,Mosque,"'24.616942', '46.7020813'","5257 Ibrahim Al Attar, Al Jaradiyah, Riyadh 12771 8054 Ibrahim Al Attar, 8054, Al Jaradiyah, Riyadh 12771",Mosque,24.616942,46.7020813
419,مسجد العكيل والسعيد,"'24.6145211', '46.7015527'","تقاطع شارع الصمد وشارع خالد بن عدي بحي الجراديه, Riyadh",Mosque,24.6145211,46.7015527
420,جامع السويلم حي الجرادية,"'24.6203339', '46.6921986'","JMCR+4XQ, Muslimah Ibn Abdul Malik, Al Jaradiyah, Riyadh 12747",Mosque,24.6203339,46.6921986
421,مسجد جامع بن غانم,"'24.6157802', '46.7004291'",7923، 5087، الجرادية، الرياض 12771,Mosque,24.6157802,46.7004291
422,مسجد جامع بن غانم,"'24.6157802', '46.7004291'",7923، 5087، الجرادية، الرياض 12771,Mosque,24.6157802,46.7004291
423,مسجد بطيحاء آل عمران,"'24.6129098', '46.6949991'",7599، 4546 قطيم الصانع، الجرادية، الرياض 12771,Mosque,24.6129098,46.6949991
424,مسجد العكيل والسعيد,"'24.6145211', '46.7015527'","تقاطع شارع الصمد وشارع خالد بن عدي بحي الجراديه, Riyadh",Mosque,24.6145211,46.7015527
425,Masjid Malik Salman bin Abdul Aziz,"'24.6122014', '46.6964801'","7490 Al Jawba, 4669, Al Jaradiyah، 7490 الجوبة، الجرادية، الرياض 12771 4669, Riyadh 12771",Mosque,24.6122014,46.6964801
426,Al Falah Grand Mosque,"'24.7901563', '46.7023124'","QPR3+329, Uthman Ibn Affan Rd, Al Falah, Riyadh 13314",Mosque,24.7901563,46.7023124
427,Dar Al Uloom Grand Mosque,"'24.7969592', '46.7083095'","QPW5+QCQ, Shaikh Abdullah Al Makhdub St, Al Falah, Riyadh 13314",Mosque,24.7969592,46.7083095
428,Al falah,"'24.798886', '46.7027413'",2674 محمد بن المحدث، الفلاح، الرياض 13314 7513،,Mosque,24.798886,46.7027413
429,Moghames Mosque,"'24.7933189', '46.7118278'","QPV6+8VC, Ajman St, Al Falah, Riyadh 13314",Mosque,24.7933189,46.7118278
430,Othman Bin Affan Mosque,"'24.7932918', '46.6989973'","Uthman Ibn Affan Branch Rd، الرياض - حي الوادي طريق عثمان بن عفان رضي الله عنه, Riyadh",Mosque,24.7932918,46.6989973
431,Moghames Mosque,"'24.7933189', '46.7118278'","QPV6+8VC, Ajman St, Al Falah, Riyadh 13314",Mosque,24.7933189,46.7118278
432,Al-Fatih Mosque,"'24.7943124', '46.6897246'","QMVR+P2C, Al Misroh, Al Wadi, Riyadh 13313",Mosque,24.7943124,46.6897246
433,Dar Al Uloom Grand Mosque,"'24.7969592', '46.7083095'","QPW5+QCQ, Shaikh Abdullah Al Makhdub St, Al Falah, Riyadh 13314",Mosque,24.7969592,46.7083095
434,An Nada Mosque,"'24.8019409', '46.6931257'","RM2V+Q9F, An Nada, Riyadh 13317",Mosque,24.8019409,46.6931257
435,Al Nada Mosque,"'24.8132495', '46.688309'","RM7Q+7CX, Al Qadih, An Nada, Riyadh 13317",Mosque,24.8132495,46.688309
436,Abu Bakr Al-Siddiq Mosque,"'24.8001491', '46.6828709'","RM2M+373, An Nada, Riyadh 13317",Mosque,24.8001491,46.6828709
437,Mosque,"'24.800102', '46.6878018'","RM2Q+26X, An Nada, Riyadh 13317",Mosque,24.800102,46.6878018
438,Sheikh Ibn Jibreen Mosque,"'24.7944025', '46.6725961'","QMVF+Q56, Ar Rabi, Riyadh 13316",Mosque,24.7944025,46.6725961
439,جامع التقوى الربيع,"'24.8064736', '46.6683537'","Ar Rabi, Riyadh 13316",Mosque,24.8064736,46.6683537
440,Al Rabie Grand Mosque,"'24.8033001', '46.6635509'","RM37+8GH, Al Dhamir, Ar Rabi, Riyadh 13316",Mosque,24.8033001,46.6635509
441,جامع الشيخ عبدالعزيز الفريح,"'24.8044566', '46.6909292'","RM3R+QFQ, An Nada, Riyadh 13317",Mosque,24.8044566,46.6909292
442,جامع الشيخ عبدالعزيز الفريح,"'24.8044566', '46.6909292'","RM3R+QFQ, An Nada, Riyadh 13317",Mosque,24.8044566,46.6909292
443,Taqwa Mosque,"'24.7902581', '46.6749189'","3501, 8270, An Nafal, Riyadh 13312",Mosque,24.7902581,46.6749189
444,Abu Bakr Mosque,"'24.7849307', '46.677359'","QMMH+X3F, Al Hanak, An Nafal, Riyadh 13312",Mosque,24.7849307,46.677359
445,Abdullah Bin Nasser Al Wahaibi Grand Mosque,"'24.778766', '46.6786196'","QMHH+GH3, Khaleej Tounis, An Nafal, Riyadh 13312",Mosque,24.778766,46.6786196
446,Al-Juhaimi Mosque,"'24.7766162', '46.676143'","6755 Abdulrahman Al Atqi, An Nafal, Riyadh 13312",Mosque,24.7766162,46.676143
447,Abdullah Bin Nasser Al Wahaibi Grand Mosque,"'24.778766', '46.6786196'","QMHH+GH3, Khaleej Tounis, An Nafal, Riyadh 13312",Mosque,24.778766,46.6786196
448,Sheikh Abdul Aziz bin Baz Mosque,"'24.7711294', '46.6605368'","QMC6+F84, Is'haq Ibn Ibrahim St, Al Ghadir, Riyadh 13311",Mosque,24.7711294,46.6605368
449,Almojel Mosque,"'24.7804002', '46.676854'","QMJG+5V6, Al Harjah, An Nafal, Riyadh 13312",Mosque,24.7804002,46.676854
450,Abdullah Bin Nasser Al Wahaibi Grand Mosque,"'24.778766', '46.6786196'","QMHH+GH3, Khaleej Tounis, An Nafal, Riyadh 13312",Mosque,24.778766,46.6786196
451,Almojel Mosque,"'24.7804002', '46.676854'","QMJG+5V6, Al Harjah, An Nafal, Riyadh 13312",Mosque,24.7804002,46.676854
452,جامع لولوة المطوع رحمها الله,"'24.7884306', '46.6449479'","QJQW+93H, Al Thoumamah Rd, As Sahafah, Riyadh 13315",Mosque,24.7884306,46.6449479
453,جامع الياسمين,"'24.7882713', '46.641292'","Araom Mountain St, As Sahafah, Riyadh 13315",Mosque,24.7882713,46.641292
454,Habib Mosque,"'24.7806621', '46.632199'","7221 Al Atlal, Al Aqiq, Riyadh 13515",Mosque,24.7806621,46.632199
455,Masjid abu bakar Siddiq,"'24.7873347', '46.6320729'","QJPJ+WWQ, شارع الربيان، حي, Al Aqiq, Riyadh 13515",Mosque,24.7873347,46.6320729
456,مسجد الإخلاص بحي العقيق - الرياض,"'24.7794086', '46.6362528'","7080 Al Usamalah, Al Aqiq, Riyadh 13515",Mosque,24.7794086,46.6362528
457,Al Furqan Mosque,"'24.7881518', '46.6273204'","QJQH+729, Al Manarah, Al Aqiq, Riyadh 13515",Mosque,24.7881518,46.6273204
458,مسجد حطين,"'24.7712017', '46.6131916'","7015 Wadi Al Amariyah, Hittin, 3776, Riyadh 13516",Mosque,24.7712017,46.6131916
459,Ar Rahmah Mosque Grand,"'24.7738693', '46.6153154'","7307 Sinan, Hittin, Riyadh 13516",Mosque,24.7738693,46.6153154
460,Hittin Grand Mosque,"'24.7633526', '46.6174267'","QJ79+83X, Hittin, Riyadh 13512",Mosque,24.7633526,46.6174267
461,Hittin Grand Mosque,"'24.7762522', '46.5727884'","QHGF+G64, King Khalid Br Rd, Al Malqa, Riyadh 13523",Mosque,24.7762522,46.5727884
462,Hittin Grand Mosque,"'24.7762521', '46.5727884'","QHGF+G64, King Khalid Br Rd, Al Malqa, Riyadh 13523",Mosque,24.7762521,46.5727884
463,Mosque,"'24.8024787', '46.6187746'","RJ29+XJW, Al Howeita St, Al Malqa, Riyadh 13521",Mosque,24.8024787,46.6187746
464,Tawhid Mosque,"'24.8127361', '46.5927188'","تلال, Al Malqa, Riyadh 13525",Mosque,24.8127361,46.5927188
465,Ghadah Albrahim Mosque,"'24.786304', '46.6113846'","QJP6+GMF, Al Imam Saud Ibn Faysal Rd, Al Malqa, Riyadh 13522",Mosque,24.786304,46.6113846
466,Ghadah Albrahim Mosque,"'24.7863039', '46.6113846'","QJP6+GMF, Al Imam Saud Ibn Faysal Rd, Al Malqa, Riyadh 13522",Mosque,24.7863039,46.6113846
467,جامع الياسمين,"'24.7882713', '46.641292'","Araom Mountain St, As Sahafah, Riyadh 13315",Mosque,24.7882713,46.641292
468,مسجد الهدى,"'24.7869711', '46.6068233'",رقم 173، الرياض 13522،,Mosque,24.7869711,46.6068233
469,Princess Zhawah Mosque,"'24.7896031', '46.6134185'","3090 Al Hasib, Al Malqa, Riyadh 13521",Mosque,24.7896031,46.6134185
470,Ghadah Albrahim Mosque,"'24.786304', '46.6113846'","QJP6+GMF, Al Imam Saud Ibn Faysal Rd, Al Malqa, Riyadh 13522",Mosque,24.786304,46.6113846
471,جامع عمر بارشيد,"'24.7932857', '46.616381'","QJV8+8M7, Al Malqa, Riyadh 13521",Mosque,24.7932857,46.616381
472,Princess Zhawah Mosque,"'24.7896031', '46.6134185'","3090 Al Hasib, Al Malqa, Riyadh 13521",Mosque,24.7896031,46.6134185
473,Abu Baker Alsedeeq Mosque,"'24.8317342', '46.6892432'","RMJQ+MRV, An Narjis, Riyadh 13324",Mosque,24.8317342,46.6892432
474,Alarid Mosque,"'24.8674981', '46.6368704'",شارع القصر، الرياض 13335،,Mosque,24.8674981,46.6368704
475,Al-Dahayan Grand Masjid,"'24.8935511', '46.614374'","VJV7+CVF, Al Aarid, Riyadh 13342",Mosque,24.8935511,46.614374
476,جامع الإحسان,"'24.856109', '46.6315633'","VJ4J+CPX, Al Aarid, Riyadh 13335",Mosque,24.856109,46.6315633
477,Abdulaziz Alfaris Mosque,"'24.8554299', '46.6242566'","حي, 7510 طريق الملك عبدالعزيز، العارض، الرياض 13334 5003،",Mosque,24.8554299,46.6242566
478,Abdulaziz Alfaris Mosque,"'24.8554299', '46.6242566'","حي, 7510 طريق الملك عبدالعزيز، العارض، الرياض 13334 5003،",Mosque,24.8554299,46.6242566
479,جامع الحميدان,"'24.8377998', '46.6033119'",8058 مقاتل بن سليمان، القيروان، الرياض 13531 3606،,Mosque,24.8377998,46.6033119
480,Mosque of Kairouan,"'24.8277244', '46.6105247'","RJH6+38P, Al Qirawan, Riyadh 13531",Mosque,24.8277244,46.6105247
481,Mosque,"'24.8248094', '46.5914789'","RHFR+WPC, Al Qirawan, Riyadh 13532",Mosque,24.8248094,46.5914789
482,Mosque,"'24.8248094', '46.5914789'","RHFR+WPC, Al Qirawan, Riyadh 13532",Mosque,24.8248094,46.5914789
483,North Al Qirawan Mosque,"'24.8259044', '46.5878798'","RHGQ+977, Al Qirawan, Riyadh 13532",Mosque,24.8259044,46.5878798
484,Mosque,"'24.8259044', '46.5878798'","RHGQ+986, Al Qirawan, Riyadh 13532",Mosque,24.8259044,46.5878798
485,Al Nafie Mosque,"'24.8211351', '46.6022615'","RJC3+F23، طريق الملك سلمان - حي القيروان, Al Malqa, Riyadh 13524",Mosque,24.8211351,46.6022615
486,جامع الخير والإحسان,"'24.8161535', '46.5958168'","RH8W+FC9, شارع ٣٩٠، حي, Al Malqa, Riyadh 13525",Mosque,24.8161535,46.5958168
487,Al Kraidees Grand Mosque,"'24.8225683', '46.6000959'","3273, Al Qirawan، 6385, Riyadh 13531",Mosque,24.8225683,46.6000959
488,Al Nafie Mosque,"'24.8211351', '46.6022615'","RJC3+F23، طريق الملك سلمان - حي القيروان, Al Malqa, Riyadh 13524",Mosque,24.8211351,46.6022615
489,Alkhair Grand Mosque,"'24.758116', '46.6273093'","QJ5H+62X, Al Aqiq, Riyadh 13511",Mosque,24.758116,46.6273093
490,Alkhair Grand Mosque,"'24.758116', '46.6273093'","QJ5H+62X, Al Aqiq, Riyadh 13511",Mosque,24.758116,46.6273093
491,Prince Mohammed bin Saad Mosque,"'24.7590746', '46.6240462'","QJ5F+JPH, Al Ghabra, Hittin, Riyadh 13512",Mosque,24.7590746,46.6240462
492,مصلى الرجال - الرياض بارك مول,"'24.7569724', '46.6301518'","QJ4J+Q5, Al Aqiq, Riyadh 13511",Mosque,24.7569724,46.6301518
493,King Khalid Grand Mosque,"'24.7009662', '46.6522357'","PM23+92M، شارع أم الحمام، أم الحمام الغربي،, Riyadh 11564",Mosque,24.7009662,46.6522357
494,King Khalid Grand Mosque,"'24.7009661', '46.6522357'","PM23+92M، شارع أم الحمام، أم الحمام الغربي،, Riyadh 11564",Mosque,24.7009661,46.6522357
495,Prince Mohammed Bin Abdulaziz Mosque,"'24.6928244', '46.6663852'","MMV8+4MF, Ashiqar, Al Mathar Ash Shamali, Riyadh 12332",Mosque,24.6928244,46.6663852
496,مسجد العقيق,"'24.7635857', '46.6273292'","QJ7H+C3J, Al Aqiq, Riyadh 13511",Mosque,24.7635857,46.6273292
497,King Abdullah Bin Abdul Aziz Mosque,"'24.7061836', '46.6554799'","6218 Al Urubah Rd, حي الرحمانية، 2898، Riyadh 12342",Mosque,24.7061836,46.6554799
498,King Khalid Grand Mosque,"'24.7009662', '46.6522357'","PM23+92M، شارع أم الحمام، أم الحمام الغربي،, Riyadh 11564",Mosque,24.7009662,46.6522357
499,جامع الياسمين,"'24.7882713', '46.641292'","Araom Mountain St, As Sahafah, Riyadh 13315",Mosque,24.7882713,46.641292
500,Masjid Abdullah bin Abbas Al-Yasmin dist.,"'24.8372321', '46.650423'","3546, 8022, Alyasmin, Riyadh 13326",Mosque,24.8372321,46.650423
501,Abu Himd Mosque,"'24.8220436', '46.6253202'","RJCG+R69, Ahmed Al Ansari Al Khazraji, Alyasmin, Riyadh 13325",Mosque,24.8220436,46.6253202
502,Abu Himd Mosque,"'24.8220435', '46.6253202'","RJCG+R69, Ahmed Al Ansari Al Khazraji, Alyasmin, Riyadh 13325",Mosque,24.8220435,46.6253202
503,مسجد الياسمين,"'24.8124025', '46.6302976'","8066 الشواطئ, As Sahafah, Riyadh 13321",Mosque,24.8124025,46.6302976
504,Shaikh Mohammed Bin Abdulaziz Bin Sultan Mosque,"'24.808827', '46.6313973'","Shaikh Mohammed Bin Abdulaziz Bin Sultan Mosque, As Sahafah, Riyadh 13321",Mosque,24.808827,46.6313973
505,جامع عبدالعزيز بن عثمان المفدّى,"'24.813244', '46.6395197'",8173 النشرة، الصحافة، الرياض 13321 3755،,Mosque,24.813244,46.6395197
506,جامع عبدالعزيز بن عثمان المفدّى,"'24.813244', '46.6395197'",8173 النشرة، الصحافة، الرياض 13321 3755،,Mosque,24.813244,46.6395197
507,Al-Fayiz Mosque,"'24.8160461', '46.6406188'","RJ8R+C97, Al Naqra, As Sahafah, Riyadh 13321",Mosque,24.8160461,46.6406188
508,Al Rabie Grand Mosque,"'24.8033001', '46.6635509'","RM37+8GH, Al Dhamir, Ar Rabi, Riyadh 13316",Mosque,24.8033001,46.6635509
509,Al Sultan Mosque,"'24.8208584', '46.6363484'","7104 Al Nafl, Alyasmin, Riyadh 13325",Mosque,24.8208584,46.6363484
510,Al-Ghadeer Grand Mosque,"'24.7733214', '46.6450156'","جامع حي الغدير, Al Ghadir, Riyadh 13311",Mosque,24.7733214,46.6450156
511,Sheikh Abdul Aziz bin Baz Mosque,"'24.7711294', '46.6605368'","QMC6+F84, Is'haq Ibn Ibrahim St, Al Ghadir, Riyadh 13311",Mosque,24.7711294,46.6605368
