,School Name,Coordinates,Address,School Type,latitude,longitude
224,جامع الملك سعود,"'24.5831034', '46.5642195'",2874، 7270 الكندي، طويق، الرياض 14922 2874، 14922,Mosque,24.5831034,46.5642195
225,مسجد أبي الدرداء رضي الله عنه.,"'24.5880616', '46.5589183'",6289 الجبور، الرياض 14912،,Mosque,24.5880616,46.5589183
226,جامع نمار,"'24.5558134', '46.5512194'","HH42+8JC, Najm Al Din Al Ayoubi, Tuwaiq, Riyadh 14928",Mosque,24.5558134,46.5512194
227,جامع ابن الهدي,"'24.5896312', '46.5551049'","6466 An Jamuh, 3498, Tuwaiq، 6466 الجموح، طويق، الرياض 14912 3498, Riyadh 14912",Mosque,24.5896312,46.5551049
228,مسجد نمار,"'24.5651031', '46.5333787'","HG8M+2FV، حي الموسى، طويق،, Riyadh",Mosque,24.5651031,46.5333787
229,مسجد أبي الدرداء رضي الله عنه.,"'24.5880616', '46.5589183'",6289 الجبور، الرياض 14912،,Mosque,24.5880616,46.5589183
230,جامع ابن الهدي,"'24.5896312', '46.5551049'","6466 An Jamuh, 3498, Tuwaiq، 6466 الجموح، طويق، الرياض 14912 3498, Riyadh 14912",Mosque,24.5896312,46.5551049
231,جامع الأبوين.,"'24.5885193', '46.5615021'","6489 Al Bastah, Tuwaiq, Riyadh 14914",Mosque,24.5885193,46.5615021
232,جامع الامير مشاري بن سعود,"'24.5928771', '46.5590514'","3899 6821, Riyadh 14912",Mosque,24.5928771,46.5590514
233,جامع الملك سعود,"'24.5831034', '46.5642195'",2874، 7270 الكندي، طويق، الرياض 14922 2874، 14922,Mosque,24.5831034,46.5642195
234,مسجد حي طويق,"'24.5834174', '46.5686886'",الليث، طويق، الرياض 14922، 14922,Mosque,24.5834174,46.5686886
235,Alblish Mosque,"'24.5919628', '46.5954888'","HHRW+Q8M, Aluraija Al Gharbiyah, Riyadh 12966",Mosque,24.5919628,46.5954888
236,Abdulaziz Al Jasser Grand Mosque,"'24.580437', '46.5903536'","HHJR+57C, Al Sourah, Aluraija Al Gharbiyah, Riyadh 14921",Mosque,24.580437,46.5903536
237,مسجد النخيل - العريجاء الغربي,"'24.59914', '46.6001596'","3765 Abdallah Ibn Al Zoubeir، حي العريجاء الغربي، RIUB6887، 6887, Riyadh 12966",Mosque,24.59914,46.6001596
238,Al Sanea Mosque,"'24.5859293', '46.6662791'","2857 السويدي العام، السويدي، الرياض 12794 7805 Al Souweidi Al Aam, 7805, As Suwaidi, Riyadh 12794",Mosque,24.5859293,46.6662791
239,Ibn Taymiyyah Mosque,"'24.577962', '46.609141'","7913 Umar Mufti, 2404, As Suwaidi Al Gharabi, Riyadh 12992",Mosque,24.577962,46.609141
240,مسجد آل عوشن,"'24.5795151', '46.6109418'","2629 Ahmad Bin As Sairafi, 8091, As Suwaidi Al Gharabi, 8091، Riyadh 12992",Mosque,24.5795151,46.6109418
241,Sheikh Muhammed Salih Al-Ansari Mosque of Allah's mercy,"'24.5967003', '46.5986459'","3622 Dabil, 3622, Aluraija Al Gharbiyah، 6620 دبيل،, Riyadh 12966",Mosque,24.5967003,46.5986459
242,Sheikh Muhammed Salih Al-Ansari Mosque of Allah's mercy,"'24.5967003', '46.5986459'","3622 Dabil, 3622, Aluraija Al Gharbiyah، 6620 دبيل،, Riyadh 12966",Mosque,24.5967003,46.5986459
243,Alblish Mosque,"'24.5919628', '46.5954888'","HHRW+Q8M, Aluraija Al Gharbiyah, Riyadh 12966",Mosque,24.5919628,46.5954888
244,مسجد النور العريجاء,"'24.5981936', '46.5962935'","6772 Ash Shuwairif, Aluraija Al Gharbiyah, Riyadh 12966",Mosque,24.5981936,46.5962935
245,جامع موسى بن نصير,"'24.6009383', '46.597049'","JH2W+9WH, Muhammad Ibn Sulaiman, Aluraija Al Gharbiyah, Riyadh 12966",Mosque,24.6009383,46.597049
246,جامع موسى بن نصير,"'24.6009383', '46.597049'","JH2W+9WH, Muhammad Ibn Sulaiman, Aluraija Al Gharbiyah, Riyadh 12966",Mosque,24.6009383,46.597049
247,Al-Walid I Mosque,"'24.6036623', '46.5977302'","JH3X+F66, Khadijah Bint Abi Al Hasan, Aluraija Al Gharbiyah, Riyadh 12964",Mosque,24.6036623,46.5977302
248,Sheikh Muhammed Salih Al-Ansari Mosque of Allah's mercy,"'24.5967003', '46.5986459'","3622 Dabil, 3622, Aluraija Al Gharbiyah، 6620 دبيل،, Riyadh 12966",Mosque,24.5967003,46.5986459
249,masjid hudhayfat bin alyaman radi allah eanhu.,"'24.6000567', '46.5935064'","JH2V+2GF, Aluraija Al Gharbiyah, Riyadh 12966",Mosque,24.6000567,46.5935064
250,جامع الصانع حي شبرا,"'24.5731104', '46.6651045'","HMF8+65R, Abi Mishab, Shubra, Riyadh 12799",Mosque,24.5731104,46.6651045
