,Unnamed: 0.1,Unnamed: 0,School Name,Coordinates,Address,School Type,latitude,longitude,District,Address3
277,,277,مدارس البيان الأهلية بالرياض - الادارة العامة,,"Salmah Ibn Abi Salmah, Ar Rabwah, Riyadh 12813",School,24.6986702,46.7390169, Ar Rabwah, Ar Rabwah
278,,278,مدرسه,,"Al Othaim Mall،, Eastern Ring Branch Rd، الربوة،، ، 7454, Riyadh 12839",Elementary school,24.6859971,46.7745717, Eastern Ring Branch Rd، الربوة،، ، 7454, Eastern Ring Branch Rd، الربوة،، ، 7454
279,,279,روضة الاوائل الاهلية,,"3474 Abi Zour Al Ghafari, Ar Rabwah, Riyadh 12835",Kindergarten,24.6853244,46.76859, Ar Rabwah, Ar Rabwah
280,,280,Haroon Ar Rasheed Primary School,,"MQX2+W7H, Al Keda, Ar Rabwah, Riyadh 12821",School,24.6998077,46.750423, Al Keda, Al Keda
281,,281,مدارس مهارات التعليم العالمية,,"Prince Mouteeb Ibn Abd Al Aziz, Ar Rabwah, Riyadh 12839",School,24.6814521,46.768435, Ar Rabwah, Ar Rabwah
282,,282,Saad bin Abi Waqas Primary School,,"PQ6J+J8F, Zahr Al Louloua, Ar Rayyan, Riyadh 14212",Elementary school,24.7115537,46.7805037, Zahr Al Louloua, Zahr Al Louloua
283,,283,School 281,,"PQ2G+GWF, Ar Rayyan, Riyadh 14213",School,24.7013018,46.7769838, Ar Rayyan, Ar Rayyan
284,,284,AlRayyan Qur'an Charity School For Women,,"ابي الفضل عبدالمؤمن،الريان،، الرياض،, Riyadh 14212",School,24.7068987,46.7820769, Riyadh 14212, Riyadh 14212
285,,285,Tarbiyah Namouthajiyah Schools - Rayan,,"3134 Prince Majed Bin Abdulaziz Rd, Ar Rayyan, Riyadh 14211",School,24.7088628,46.7727989, Ar Rayyan, Ar Rayyan
286,,286,مدارس التربية النموذجية الأهلية-متوسطه بنات,,"PQ6G+FJ3, Prince Majed Bin Abdulaziz Rd, Ar Rayyan, Riyadh 14211",Middle school,24.7111282,46.7762587, Prince Majed Bin Abdulaziz Rd, Prince Majed Bin Abdulaziz Rd
287,,287,المدرسة الابتدائية 407 للبنات,,"PQ7P+J7V, Bouraida, Ar Rayyan, Riyadh 14212",Elementary school,24.7141161,46.7853661, Bouraida, Bouraida
288,,288,مدارس التربية النموذجية الثانوي بنين,,"11531 Unayzah St, Ar Rayyan, Riyadh 11531",High school,24.7101843,46.7726184, Ar Rayyan, Ar Rayyan
