,District Name,Coordinates,address,url,latitude,longitude
102,مركز صحي العريجاء الاوسط,"24.60218, 46.6254951",0,"https://www.google.com/maps/place/%D9%85%D8%B1%D9%83%D8%B2+%D8%B5%D8%AD%D9%8A+%D8%A7%D9%84%D8%B9%D8%B1%D9%8A%D8%AC%D8%A7%D8%A1+%D8%A7%D9%84%D8%A7%D9%88%D8%B3%D8%B7%E2%80%AD/@24.60218,46.6254951,17z/data=!3m1!4b1!4m6!3m5!1s0x3e2f1a5996f18845:0x8877e674a0aeb696!8m2!3d24.60218!4d46.62807!16s%2Fg%2F11c1pkpxhl?entry=ttu",24.60218,46.6254951
104,Ghubairah,"24.6205638, 46.7260836",0,"https://www.google.com/maps/place/Ghubairah,+Riyadh/@24.6205638,46.7260836,15z/data=!3m1!4b1!4m6!3m5!1s0x3e2f05f0f74d39d9:0x3e19828f6fdb53ca!8m2!3d24.6221434!4d46.7386685!16s%2Fg%2F1tmptg58?entry=ttu",24.6205638,46.7260836
106,Al Amal,"24.6457903, 46.7192312",0,"https://www.google.com/maps/place/Al+Amal,+Riyadh/@24.6457903,46.7192312,16z/data=!3m1!4b1!4m6!3m5!1s0x3e2f05b48fca1add:0xc91d25c5df4025dd!8m2!3d24.6423634!4d46.7192278!16s%2Fg%2F1tfzf70t?entry=ttu",24.6457903,46.7192312
107,حي الصناعية,"24.6350516, 46.7371532","JPPP+2XG, Al Kharj Rd، تقاطع،، بلقيس، الصناعية القديمة،, Riyadh 11499","https://www.google.com/maps/place/%D8%AD%D9%8A+%D8%A7%D9%84%D8%B5%D9%86%D8%A7%D8%B9%D9%8A%D8%A9%E2%80%AD/@24.6350516,46.7371532,21z/data=!4m10!1m2!2m1!1zINit2Yog2KfZhNi12YbYp9i52YrYqSAsIFJpeWFkaA!3m6!1s0x3e2f0599fd7ecf1d:0xd311117247d570b6!8m2!3d24.6350516!4d46.7374509!15sCh7YrdmKINin2YTYtdmG2KfYudmK2KkgLCBSaXlhZGiSARFjYXJfYmF0dGVyeV9zdG9yZeABAA!16s%2Fg%2F11jz6kybnw?entry=ttu",24.6350516,46.7371532
109,Jarir,"24.6772501, 46.7404221",0,"https://www.google.com/maps/place/Jarir,+Riyadh/@24.6772501,46.7404221,15z/data=!3m1!4b1!4m6!3m5!1s0x3e2f06a1b435180d:0x7d3ae18b14456a40!8m2!3d24.6781621!4d46.7527865!16s%2Fg%2F1vfn53g9?entry=ttu",24.6772501,46.7404221
111,Al Yamamah,"24.5961728, 46.7055682",0,"https://www.google.com/maps/place/Al+Yamamah,+Riyadh/@24.5961728,46.7055682,15z/data=!3m1!4b1!4m6!3m5!1s0x3e2f0f706738c253:0x324521a2c66eb5c4!8m2!3d24.5940471!4d46.714514!16s%2Fg%2F12xpvhsm5?entry=ttu",24.5961728,46.7055682
113,Aljazirah,"24.0809367, 45.2766519",0,"https://www.google.com/maps/place/Aljazirah,+Al+Quwaiiyah+19257/@24.0809367,45.2766519,15z/data=!3m1!4b1!4m6!3m5!1s0x3e28381ba535087d:0x7889357c8da62ee0!8m2!3d24.0805697!4d45.2875655!16s%2Fg%2F11c58gxggl?entry=ttu",24.0809367,45.2766519
115,Manfuhah,"24.5994684, 46.718162",0,"https://www.google.com/maps/place/Manfuhah,+Riyadh/@24.5994684,46.718162,15z/data=!3m1!4b1!4m6!3m5!1s0x3e2f0f6829d9a3a1:0xb586b4e922cd9a80!8m2!3d24.6007001!4d46.7244456!16s%2Fm%2F02q34zb?entry=ttu",24.5994684,46.718162
117,Al Wizarat,"24.6791496, 46.6926694",0,"https://www.google.com/maps/place/Al+Wizarat,+Riyadh/@24.6791496,46.6926694,14z/data=!3m1!4b1!4m6!3m5!1s0x3e2f047ed9134073:0x5dbb6551a7979f31!8m2!3d24.6743305!4d46.7119237!16s%2Fg%2F1hc6vw28d?entry=ttu",24.6791496,46.6926694
119,Umm Salim,"24.6337716, 46.693374",0,"https://www.google.com/maps/place/Umm+Salim,+Riyadh+12744/@24.6337716,46.693374,16z/data=!3m1!4b1!4m6!3m5!1s0x3e2f051ca0dea23f:0x94bf7e19bbdb02ee!8m2!3d24.6328083!4d46.6986164!16s%2Fg%2F1tql37kz?entry=ttu",24.6337716,46.693374
121,Ad Dirah,"24.6305888, 46.700551",0,"https://www.google.com/maps/place/Ad+Dirah,+Riyadh/@24.6305888,46.700551,15z/data=!3m1!4b1!4m6!3m5!1s0x3e2f05a70e5e9cf3:0x3ed9b9b333c8be42!8m2!3d24.6314812!4d46.7096468!16s%2Fg%2F1v2pnpg9?entry=ttu",24.6305888,46.700551
123,Ad Dhubbat,"24.6799796, 46.7026043",0,"https://www.google.com/maps/place/Ad+Dhubbat,+Riyadh/@24.6799796,46.7026043,14z/data=!3m1!4b1!4m6!3m5!1s0x3e2f0471501e682f:0x429ea88bbac3af91!8m2!3d24.6795232!4d46.7207514!16s%2Fg%2F1tdg67_4?entry=ttu",24.6799796,46.7026043
125,حي الخالدية,"24.6237858, 46.7444642",0,"https://www.google.com/maps/place/%D8%AD%D9%8A+%D8%A7%D9%84%D8%AE%D8%A7%D9%84%D8%AF%D9%8A%D8%A9,+Al+Khalidiyyah,+Riyadh+12874%E2%80%AD/@24.6237858,46.7444642,15z/data=!3m1!4b1!4m6!3m5!1s0x3e2f0603a22552ed:0x1051fb3ba9858059!8m2!3d24.6237866!4d46.754764!16s%2Fg%2F11ksw566zd?entry=ttu",24.6237858,46.7444642
127,جامع حي الملك عبدالعزيز,"24.6976046, 46.7170454",0,"https://www.google.com/maps/place/%D8%AC%D8%A7%D9%85%D8%B9+%D8%AD%D9%8A+%D8%A7%D9%84%D9%85%D9%84%D9%83+%D8%B9%D8%A8%D8%AF%D8%A7%D9%84%D8%B9%D8%B2%D9%8A%D8%B2%E2%80%AD/@24.6976046,46.7170454,17z/data=!3m1!4b1!4m6!3m5!1s0x3e2f035acd2b3017:0xc19d80df2bd6d229!8m2!3d24.6976046!4d46.7196203!16s%2Fg%2F11h3jhj82s?entry=ttu",24.6976046,46.7170454
129,Al Faisaliyyah,"24.634538, 46.7611167",0,"https://www.google.com/maps/place/Al+Faisaliyyah,+Riyadh/@24.634538,46.7611167,14z/data=!3m1!4b1!4m6!3m5!1s0x3e2f062957a26681:0xb053c0d4d163f2e0!8m2!3d24.6369766!4d46.7728034!16s%2Fg%2F11xhd4lkx?entry=ttu",24.634538,46.7611167
131,Al Hada,"24.4553471, 46.2595647",0,"https://www.google.com/maps/place/Al+Hada,+Al-Muzahmiya+19651/@24.4553471,46.2595647,15z/data=!3m1!4b1!4m6!3m5!1s0x3e2f2df26cedb16b:0xc69af2cd7decf0d7!8m2!3d24.4528506!4d46.2709702!16s%2Fg%2F1q6452fnh?entry=ttu",24.4553471,46.2595647
133,Mikal,"24.6230551, 46.7096856",0,"https://www.google.com/maps/place/Mikal,+Riyadh+12652/@24.6230551,46.7096856,16z/data=!3m1!4b1!4m6!3m5!1s0x3e2f0598dbe14847:0xf40d5528aff8416f!8m2!3d24.6213095!4d46.7150694!16s%2Fg%2F11g6rkqq57?entry=ttu",24.6230551,46.7096856
135,As Salhiyah,"24.6343203, 46.7289191",0,"https://www.google.com/maps/place/As+Salhiyah,+Riyadh+12662/@24.6343203,46.7289191,16z/data=!3m1!4b1!4m6!3m5!1s0x3e2f05c232ba81ab:0xd5b4d1fa22591e39!8m2!3d24.6333989!4d46.7331081!16s%2Fg%2F11clzgyh55?entry=ttu",24.6343203,46.7289191
137,Al Malaz,"24.664643, 46.7147777",0,"https://www.google.com/maps/place/Al+Malaz,+Riyadh/@24.664643,46.7147777,14z/data=!3m1!4b1!4m6!3m5!1s0x3e2f0424ff2e530f:0x36529ba249766c8f!8m2!3d24.6624446!4d46.7287761!16s%2Fg%2F1tf7w5nl?entry=ttu",24.664643,46.7147777
139,Mikal,"24.6230551, 46.7096856",0,"https://www.google.com/maps/place/Mikal,+Riyadh+12652/@24.6230551,46.7096856,16z/data=!3m1!4b1!4m6!3m5!1s0x3e2f0598dbe14847:0xf40d5528aff8416f!8m2!3d24.6213095!4d46.7150694!16s%2Fg%2F11g6rkqq57?entry=ttu",24.6230551,46.7096856
141,Al Faruq,"24.6537991, 46.7527437",0,"https://www.google.com/maps/place/Al+Faruq,+Riyadh/@24.6537991,46.7527437,14z/data=!3m1!4b1!4m6!3m5!1s0x3e2f0644ed2cc7cd:0xd0ef5d4d4bfa0c87!8m2!3d24.6501895!4d46.7725722!16s%2Fg%2F1tjx_zf7?entry=ttu",24.6537991,46.7527437
142,حي المرقباا,"24.6327822, 46.718102",2350 القاع البارد، المرقب، الرياض 12645 6298،,"https://www.google.com/maps/place/%D8%AD%D9%8A+%D8%A7%D9%84%D9%85%D8%B1%D9%82%D8%A8%D8%A7%D8%A7%E2%80%AD/@24.6327822,46.718102,21z/data=!4m10!1m2!2m1!1zINit2Yog2KfZhNmF2LHZgtioICwgUml5YWRo!3m6!1s0x3e2f05a1ed1c2dbf:0xcda024db7c9e47ec!8m2!3d24.6327822!4d46.7183997!15sChrYrdmKINin2YTZhdix2YLYqCAsIFJpeWFkaJIBEWFwYXJ0bWVudF9jb21wbGV44AEA!16s%2Fg%2F11ptz9zqs3?entry=ttu",24.6327822,46.718102
144,Thulaim,"24.6414922, 46.7220727",0,"https://www.google.com/maps/place/Thulaim,+Riyadh/@24.6414922,46.7220727,16z/data=!3m1!4b1!4m6!3m5!1s0x3e2f05b7b4570a7f:0x40cd83f2bf5844cc!8m2!3d24.6412933!4d46.729076!16s%2Fg%2F1vmq_v_8?entry=ttu",24.6414922,46.7220727
146,Al Falah,"24.7971265, 46.6989112",0,"https://www.google.com/maps/place/Al+Falah,+Riyadh/@24.7971265,46.6989112,15z/data=!3m1!4b1!4m6!3m5!1s0x3e2efc557fdcdeb7:0x9b901e195be846f1!8m2!3d24.7959761!4d46.710109!16s%2Fg%2F11c6zl15cg?entry=ttu",24.7971265,46.6989112
148,Al Wadi,"24.7894464, 46.6809594",0,"https://www.google.com/maps/place/Al+Wadi,+Riyadh+13313/@24.7894464,46.6809594,15z/data=!3m1!4b1!4m6!3m5!1s0x3e2efce03f601d17:0xe8be50f226a2315f!8m2!3d24.7904969!4d46.6918862!16s%2Fg%2F1ttdwy11?entry=ttu",24.7894464,46.6809594
150,An Nada,"24.805828, 46.6726775",0,"https://www.google.com/maps/place/An+Nada,+Riyadh/@24.805828,46.6726775,15z/data=!3m1!4b1!4m6!3m5!1s0x3e2efcb8f3fea55b:0x5992c4d7f102ba2f!8m2!3d24.8056733!4d46.684371!16s%2Fg%2F1vyxgwx0?entry=ttu",24.805828,46.6726775
152,Ar Rabi,"24.7945381, 46.6400312",0,"https://www.google.com/maps/place/Ar+Rabi,+Riyadh/@24.7945381,46.6400312,14z/data=!3m1!4b1!4m6!3m5!1s0x3e2ee3382c06d8d9:0x24ed127b5c901c1a!8m2!3d24.7938183!4d46.6563509!16s%2Fg%2F1vd6_t6f?entry=ttu",24.7945381,46.6400312
154,An Nafal,"24.7818657, 46.6630526",0,"https://www.google.com/maps/place/An+Nafal,+Riyadh+13312/@24.7818657,46.6630526,15z/data=!3m1!4b1!4m6!3m5!1s0x3e2efcd5875b351f:0xad6dbfa04c153419!8m2!3d24.783043!4d46.6738201!16s%2Fg%2F1tgllck5?entry=ttu",24.7818657,46.6630526
155,Al-Ghadeer Grand Mosque,"24.7734256, 46.6452563","جامع حي الغدير, Al Ghadir, Riyadh 13311","https://www.google.com/maps/place/Al-Ghadeer+Grand+Mosque/@24.7734256,46.6452563,21z/data=!4m15!1m8!3m7!1s0x3e2ee31dc6966d49:0xb307c9614e53645d!2z2KzYp9mF2Lkg2K3ZiiDYp9mE2LrYr9mK2LEsIEFsIEdoYWRpciwgUml5YWRoIDEzMzEx!3b1!8m2!3d24.7734256!4d46.6454172!16s%2Fg%2F1v8y2j17!3m5!1s0x3e2ee31dc6960447:0x70ab4bf9683d6deb!8m2!3d24.7733214!4d46.6453133!16s%2Fg%2F11x9s27_9?entry=ttu",24.7734256,46.6452563
157,Al Malqa,"24.8008081, 46.5566025",0,"https://www.google.com/maps/place/Al+Malqa,+Riyadh/@24.8008081,46.5566025,13z/data=!3m1!4b1!4m6!3m5!1s0x3e2ee40365c642ed:0x6c5d614a74dfde32!8m2!3d24.8142533!4d46.6106897!16s%2Fg%2F11g6rks0w2?entry=ttu",24.8008081,46.5566025
158,حي العارض,"24.8620928, 46.6322373","VJ6M+R2M, Al Aarid, Riyadh 13335","https://www.google.com/maps/place/%D8%AD%D9%8A+%D8%A7%D9%84%D8%B9%D8%A7%D8%B1%D8%B6%E2%80%AD/@24.8620928,46.6322373,21z/data=!4m10!1m2!2m1!1zINit2Yog2KfZhNi52KfYsdi2ICwgUml5YWRo!3m6!1s0x3e2ee57b61ce40d7:0x5612e819d539ff2a!8m2!3d24.8620928!4d46.632535!15sChrYrdmKINin2YTYudin2LHYtiAsIFJpeWFkaJIBE2hvdXNpbmdfZGV2ZWxvcG1lbnTgAQA!16s%2Fg%2F11tmwf16hw?entry=ttu",24.8620928,46.6322373
159,الرياض حي القيروان,"24.8318857, 46.6010099","7222 بدر التمام, Al Qirawan, Riyadh 13531","https://www.google.com/maps/place/%D8%A7%D9%84%D8%B1%D9%8A%D8%A7%D8%B6+%D8%AD%D9%8A+%D8%A7%D9%84%D9%82%D9%8A%D8%B1%D9%88%D8%A7%D9%86%E2%80%AD/@24.8318857,46.6010099,21z/data=!4m10!1m2!2m1!1zINit2Yog2KfZhNmC2YrYsdmI2KfZhiAsIFJpeWFkaA!3m6!1s0x3e2ee569a52d28bd:0x54f0b9cbdbc1fb04!8m2!3d24.8318857!4d46.6013076!15sCh7YrdmKINin2YTZgtmK2LHZiNin2YYgLCBSaXlhZGiSAQZtb3NxdWXgAQA!16s%2Fg%2F11txhpvmzb?entry=ttu",24.8318857,46.6010099
161,Banban,"24.992643, 46.4609621",0,"https://www.google.com/maps/place/Banban,+Riyadh/@24.992643,46.4609621,12z/data=!3m1!4b1!4m6!3m5!1s0x3e2eeb3f8e1a856d:0x85ad375eccb7c29f!8m2!3d25.0284581!4d46.5795603!16s%2Fg%2F1th08xkf?entry=ttu",24.992643,46.4609621
163,مخطط الخير - الأمراء,"25.0303606, 46.447556",0,"https://www.google.com/maps/place/%D9%85%D8%AE%D8%B7%D8%B7+%D8%A7%D9%84%D8%AE%D9%8A%D8%B1+-+%D8%A7%D9%84%D8%A3%D9%85%D8%B1%D8%A7%D8%A1%D8%8C+%D8%A7%D9%84%D8%AE%D9%8A%D8%B1,+Riyadh+13577%E2%80%AD/@25.0303606,46.447556,16z/data=!3m1!4b1!4m6!3m5!1s0x3e2ebeb95f6eec33:0xd7c8c6691b9e9aed!8m2!3d25.0299588!4d46.4531247!16s%2Fg%2F11b6gfkt33?entry=ttu",25.0303606,46.447556
165,King Khalid International Airport,"24.922132, 46.5350963",0,"https://www.google.com/maps/place/King+Khalid+International+Airport,+Riyadh/@24.922132,46.5350963,11z/data=!3m1!4b1!4m6!3m5!1s0x3e2efbd5b82c0a65:0x388d918d52b877c9!8m2!3d24.9454935!4d46.7089092!16s%2Fg%2F1vp6ynrz?entry=ttu",24.922132,46.5350963
166,Aqiq Park,"24.7799353, 46.6323956","7109 Qanat Al Soueys, 4013, Al Aqiq, Riyadh 13515","https://www.google.com/maps/place/Aqiq+Park/@24.7799353,46.6323956,21z/data=!4m10!1m2!2m1!1zINit2Yog2KfZhNi52YLZitmCICwgUml5YWRo!3m6!1s0x3e2ee309c44981e3:0xb97fa7c58191625f!8m2!3d24.7799353!4d46.6326933!15sChrYrdmKINin2YTYudmC2YrZgiAsIFJpeWFkaFoaIhjYrdmKINin2YTYudmC2YrZgiByaXlhZGiSAQRwYXJrmgEjQ2haRFNVaE5NRzluUzBWSlEwRm5TVVJwTW5NemJHWlJFQUXgAQA!16s%2Fg%2F11c1tjty_3?entry=ttu",24.7799353,46.6323956
167,حي الياسمين الرياض,"24.7938183, 46.6560532","QMV4+GGH, Ar Rabi, Riyadh 13315","https://www.google.com/maps/place/%D8%AD%D9%8A+%D8%A7%D9%84%D9%8A%D8%A7%D8%B3%D9%85%D9%8A%D9%86+%D8%A7%D9%84%D8%B1%D9%8A%D8%A7%D8%B6%E2%80%AD/@24.7938183,46.6560532,21z/data=!4m10!1m2!2m1!1zINit2Yog2KfZhNmK2KfYs9mF2YrZhiAsIFJpeWFkaA!3m6!1s0x3e2ee3528842e695:0x2be4ee37e84638dc!8m2!3d24.7938183!4d46.6563509!15sCh7YrdmKINin2YTZitin2LPZhdmK2YYgLCBSaXlhZGhaHiIc2K3ZiiDYp9mE2YrYp9iz2YXZitmGIHJpeWFkaJIBD3dlZGRpbmdfcGxhbm5lcpoBJENoZERTVWhOTUc5blMwVkpRMEZuU1VOa1h6WjZWbWQzUlJBQuABAA!16s%2Fg%2F11v3qnkmh4?entry=ttu",24.7938183,46.6560532
169,Ar Rabi,"24.7945381, 46.6400312",0,"https://www.google.com/maps/place/Ar+Rabi,+Riyadh/@24.7945381,46.6400312,14z/data=!3m1!4b1!4m6!3m5!1s0x3e2ee3382c06d8d9:0x24ed127b5c901c1a!8m2!3d24.7938183!4d46.6563509!16s%2Fg%2F1vd6_t6f?entry=ttu",24.7945381,46.6400312
170,Al-Ghadeer Grand Mosque,"24.7734256, 46.6452563","جامع حي الغدير, Al Ghadir, Riyadh 13311","https://www.google.com/maps/place/Al-Ghadeer+Grand+Mosque/@24.7734256,46.6452563,21z/data=!4m15!1m8!3m7!1s0x3e2ee31dc6966d49:0xb307c9614e53645d!2z2KzYp9mF2Lkg2K3ZiiDYp9mE2LrYr9mK2LEsIEFsIEdoYWRpciwgUml5YWRoIDEzMzEx!3b1!8m2!3d24.7734256!4d46.6454172!16s%2Fg%2F1v8y2j17!3m5!1s0x3e2ee31dc6960447:0x70ab4bf9683d6deb!8m2!3d24.7733214!4d46.6453133!16s%2Fg%2F11x9s27_9?entry=ttu",24.7734256,46.6452563
172,An Nafal,"24.7818657, 46.6630526",0,"https://www.google.com/maps/place/An+Nafal,+Riyadh+13312/@24.7818657,46.6630526,15z/data=!3m1!4b1!4m6!3m5!1s0x3e2efcd5875b351f:0xad6dbfa04c153419!8m2!3d24.783043!4d46.6738201!16s%2Fg%2F1tgllck5?entry=ttu",24.7818657,46.6630526
174,Al Wadi,"24.7894464, 46.6809594",0,"https://www.google.com/maps/place/Al+Wadi,+Riyadh+13313/@24.7894464,46.6809594,15z/data=!3m1!4b1!4m6!3m5!1s0x3e2efce03f601d17:0xe8be50f226a2315f!8m2!3d24.7904969!4d46.6918862!16s%2Fg%2F1ttdwy11?entry=ttu",24.7894464,46.6809594
176,An Nada,"24.805828, 46.6726775",0,"https://www.google.com/maps/place/An+Nada,+Riyadh/@24.805828,46.6726775,15z/data=!3m1!4b1!4m6!3m5!1s0x3e2efcb8f3fea55b:0x5992c4d7f102ba2f!8m2!3d24.8056733!4d46.684371!16s%2Fg%2F1vyxgwx0?entry=ttu",24.805828,46.6726775
178,Al Izdihar,"24.7806701, 46.7072056",0,"https://www.google.com/maps/place/Al+Izdihar,+Riyadh/@24.7806701,46.7072056,15z/data=!3m1!4b1!4m6!3m5!1s0x3e2efda2e71a4331:0xf746e0fda2277c89!8m2!3d24.7802859!4d46.7189184!16s%2Fg%2F1tfgh8_2?entry=ttu",24.7806701,46.7072056
180,Al Izdihar,"24.7806701, 46.7072056",0,"https://www.google.com/maps/place/Al+Izdihar,+Riyadh/@24.7806701,46.7072056,15z/data=!3m1!4b1!4m6!3m5!1s0x3e2efda2e71a4331:0xf746e0fda2277c89!8m2!3d24.7802859!4d46.7189184!16s%2Fg%2F1tfgh8_2?entry=ttu",24.7806701,46.7072056
182,Al Mughrizat,"24.7640849, 46.7154823",0,"https://www.google.com/maps/place/Al+Mughrizat,+Riyadh/@24.7640849,46.7154823,15z/data=!3m1!4b1!4m6!3m5!1s0x3e2efd8a5c083207:0xbe0228bce24a2f62!8m2!3d24.7625344!4d46.7253928!16s%2Fg%2F1tfg1k9z?entry=ttu",24.7640849,46.7154823
184,حي المحمدية,"24.443223, 46.2613679",0,"https://www.google.com/maps/place/%D8%AD%D9%8A+%D8%A7%D9%84%D9%85%D8%AD%D9%85%D8%AF%D9%8A%D8%A9,+Al-Muzahmiya+19643%E2%80%AD/@24.443223,46.2613679,16z/data=!3m1!4b1!4m6!3m5!1s0x3e2f320ad3785645:0x88c72d61aa41ccaf!8m2!3d24.4438868!4d46.2689858!16s%2Fg%2F1q6jcm1mv?entry=ttu",24.443223,46.2613679
186,Ar Rahmaniyyah,"24.716157, 46.6491716",0,"https://www.google.com/maps/place/Ar+Rahmaniyyah,+Riyadh/@24.716157,46.6491716,15z/data=!3m1!4b1!4m6!3m5!1s0x3e2f1d3995f64833:0x9737fbba05def0d8!8m2!3d24.7170147!4d46.6594217!16s%2Fg%2F11g6rkk_s_?entry=ttu",24.716157,46.6491716
188,King Salman Neighborhood,"24.736666, 46.6849232",0,"https://www.google.com/maps/place/King+Salman+Neighborhood,+Riyadh/@24.736666,46.6849232,14z/data=!3m1!4b1!4m6!3m5!1s0x3e2f026770985bb5:0x764ab1115c8b9ee8!8m2!3d24.7409561!4d46.7168307!16s%2Fg%2F11sttr9v7m?entry=ttu",24.736666,46.6849232
190,King Salman Neighborhood,"24.736666, 46.6849232",0,"https://www.google.com/maps/place/King+Salman+Neighborhood,+Riyadh/@24.736666,46.6849232,14z/data=!3m1!4b1!4m6!3m5!1s0x3e2f026770985bb5:0x764ab1115c8b9ee8!8m2!3d24.7409561!4d46.7168307!16s%2Fg%2F11sttr9v7m?entry=ttu",24.736666,46.6849232
192,King Abdullah Dt.,"24.731972, 46.7002967",0,"https://www.google.com/maps/place/King+Abdullah+Dt.,+Riyadh/@24.731972,46.7002967,13z/data=!3m1!4b1!4m6!3m5!1s0x3e2f022cf61aa687:0x43f05ad29638efb0!8m2!3d24.7340702!4d46.7368429!16s%2Fg%2F1tj9rtn7?entry=ttu",24.731972,46.7002967
