,District Name,Coordinates,address,url,latitude,longitude
17,حي الشعلة الرياض,"25.0070577, 47.0506902",0,"https://www.google.com/maps/place/%D8%AD%D9%8A+%D8%A7%D9%84%D8%B4%D8%B9%D9%84%D8%A9+%D8%A7%D9%84%D8%B1%D9%8A%D8%A7%D8%B6%E2%80%AD/@25.0070577,47.0506902,17z/data=!3m1!4b1!4m6!3m5!1s0x3e2e4f2e38039111:0x3b1fb837ce8e9f2a!8m2!3d25.0070577!4d47.0532651!16s%2Fg%2F11tcxm5yqk?entry=ttu",25.0070577,47.0506902
19,Al Olaya,"24.6923948, 46.6629288",0,"https://www.google.com/maps/place/Al+Olaya,+Riyadh/@24.6923948,46.6629288,14z/data=!3m1!4b1!4m6!3m5!1s0x3e2f033bb824b417:0xdc9745cc4a78b2d2!8m2!3d24.695087!4d46.6806472!16s%2Fm%2F02x6g2f?entry=ttu",24.6923948,46.6629288
20,Flowers Garden,"24.7321475, 46.6505735","PMJ2+V85, Al Takhassousi, Al Mohammadiyyah, Riyadh 12363","https://www.google.com/maps/place/Flowers+Garden/@24.7321475,46.6505735,21z/data=!4m10!1m2!2m1!1zINit2Yog2KfZhNiy2YfZiNixICwgUml5YWRo!3m6!1s0x3e2f1da39343635f:0xf11494b0eed5c2fa!8m2!3d24.7321475!4d46.6508712!15sChrYrdmKINin2YTYstmH2YjYsSAsIFJpeWFkaFoaIhjYrdmKINin2YTYstmH2YjYsSByaXlhZGiSAQRwYXJrmgEkQ2hkRFNVaE5NRzluUzBWSlEwRm5TVVJEYkRsaWJqSlJSUkFC4AEA!16s%2Fg%2F11f6cqsz8p?entry=ttu",24.7321475,46.6505735
22,حي الراية الرياض,"24.9938862, 47.0767265",0,"https://www.google.com/maps/place/%D8%AD%D9%8A+%D8%A7%D9%84%D8%B1%D8%A7%D9%8A%D8%A9+%D8%A7%D9%84%D8%B1%D9%8A%D8%A7%D8%B6%E2%80%AD/@24.9938862,47.0767265,17z/data=!3m1!4b1!4m6!3m5!1s0x3e2e49229fceb797:0x6e43d87bc64d070f!8m2!3d24.9938862!4d47.0793014!16s%2Fg%2F11tff8g54m?entry=ttu",24.9938862,47.0767265
24,حي الفرسان الرياض,"24.9798438, 47.0785953",0,"https://www.google.com/maps/place/%D8%AD%D9%8A+%D8%A7%D9%84%D9%81%D8%B1%D8%B3%D8%A7%D9%86+%D8%A7%D9%84%D8%B1%D9%8A%D8%A7%D8%B6%E2%80%AD/@24.9798438,47.0785953,17z/data=!3m1!4b1!4m6!3m5!1s0x3e2e49ecff0dbf41:0x9b54a0370eea64a!8m2!3d24.9798438!4d47.0811702!16s%2Fg%2F11tff925d_?entry=ttu",24.9798438,47.0785953
26,حي الدانة الرياض,"25.0115162, 47.0872988",0,"https://www.google.com/maps/place/%D8%AD%D9%8A+%D8%A7%D9%84%D8%AF%D8%A7%D9%86%D8%A9+%D8%A7%D9%84%D8%B1%D9%8A%D8%A7%D8%B6%E2%80%AD/@25.0115162,47.0872988,17z/data=!3m1!4b1!4m6!3m5!1s0x3e2e493510ad6c5b:0xa9bac8a7c5bde880!8m2!3d25.0115162!4d47.0898737!16s%2Fg%2F11tff8tfc1?entry=ttu",25.0115162,47.0872988
28,حي الرسالة الرياض,"25.000373, 47.0903353",0,"https://www.google.com/maps/place/%D8%AD%D9%8A+%D8%A7%D9%84%D8%B1%D8%B3%D8%A7%D9%84%D8%A9+%D8%A7%D9%84%D8%B1%D9%8A%D8%A7%D8%B6%E2%80%AD/@25.000373,47.0903353,17z/data=!3m1!4b1!4m6!3m5!1s0x3e2e49171d4f3f39:0x30bfc3dfcf2745c2!8m2!3d25.000373!4d47.0929102!16s%2Fg%2F11s7rc4_bb?entry=ttu",25.000373,47.0903353
30,حي الرسالة الرياض,"25.000373, 47.0922665",0,"https://www.google.com/maps/place/%D8%AD%D9%8A+%D8%A7%D9%84%D8%B1%D8%B3%D8%A7%D9%84%D8%A9+%D8%A7%D9%84%D8%B1%D9%8A%D8%A7%D8%B6%E2%80%AD/@25.000373,47.0922665,19z/data=!3m1!4b1!4m6!3m5!1s0x3e2e49171d4f3f39:0x30bfc3dfcf2745c2!8m2!3d25.000373!4d47.0929102!16s%2Fg%2F11s7rc4_bb?entry=ttu",25.000373,47.0922665
32,Ar Rihab,"24.7822653, 46.553994",0,"https://www.google.com/maps/place/Ar+Rihab,+Diriyah/@24.7822653,46.553994,15z/data=!3m1!4b1!4m6!3m5!1s0x3e2ee6d29de986dd:0x50688efc3fe9f670!8m2!3d24.7870816!4d46.5620116!16s%2Fg%2F11b6bbhj6z?entry=ttu",24.7822653,46.553994
33,المجد,"24.7500152, 46.5733902","مبني تواصل النخبة للإتصالات، طريق الملك عبدالعزيز، حي الفيصلية, At Tarif Al Jadid، محل 28, Riyadh 13712","https://www.google.com/maps/place/%D8%A7%D9%84%D9%85%D8%AC%D8%AF%E2%80%AD/@24.7500152,46.5733902,21z/data=!4m10!1m2!2m1!1zINit2Yog2KfZhNmF2KzYryAsIFJpeWFkaA!3m6!1s0x3e2ee10b4ebfd97f:0xdeee991e9f86b576!8m2!3d24.7500152!4d46.5736879!15sChjYrdmKINin2YTZhdis2K8gLCBSaXlhZGhaGCIW2K3ZiiDYp9mE2YXYrNivIHJpeWFkaJIBEGNlbGxfcGhvbmVfc3RvcmXgAQA!16s%2Fg%2F11g00xyqb4?entry=ttu",24.7500152,46.5733902
34,حي الملك فهد :عماير النخبه,"24.7496751, 46.6691477",3090 نخيلان، 8267، الملك فهد، الرياض 12274،,"https://www.google.com/maps/place/%D8%AD%D9%8A+%D8%A7%D9%84%D9%85%D9%84%D9%83+%D9%81%D9%87%D8%AF+:%D8%B9%D9%85%D8%A7%D9%8A%D8%B1+%D8%A7%D9%84%D9%86%D8%AE%D8%A8%D9%87%E2%80%AD/@24.7496751,46.6691477,21z/data=!4m10!1m2!2m1!1zINit2Yog2KfZhNmG2K7YqNipICwgUml5YWRo!3m6!1s0x3e2ee31583c2db61:0x4253dffdefa84755!8m2!3d24.7496751!4d46.6694454!15sChrYrdmKINin2YTZhtiu2KjYqSAsIFJpeWFkaJIBEmFwYXJ0bWVudF9idWlsZGluZ-ABAA!16s%2Fg%2F11tfyzqcnr?entry=ttu",24.7496751,46.6691477
36,Ash Shuhada,"24.7882142, 46.7252289",0,"https://www.google.com/maps/place/Ash+Shuhada,+Ghirnatah,+Riyadh/@24.7882142,46.7252289,15z/data=!3m1!4b1!4m6!3m5!1s0x3e2efdc3a43326cd:0x1208e72a60d029c!8m2!3d24.7879698!4d46.7368914!16s%2Fg%2F1tf0642m?entry=ttu",24.7882142,46.7252289
38,Ghirnatah,"24.7920141, 46.723755",0,"https://www.google.com/maps/place/Ghirnatah,+Riyadh/@24.7920141,46.723755,14z/data=!3m1!4b1!4m6!3m5!1s0x3e2efddec1d2908b:0x5a8fbe134285f3a1!8m2!3d24.7927017!4d46.7439972!16s%2Fg%2F1v9tyck9?entry=ttu",24.7920141,46.723755
40,Al Yarmuk,"24.8079578, 46.7630003",0,"https://www.google.com/maps/place/Al+Yarmuk,+Riyadh/@24.8079578,46.7630003,14z/data=!3m1!4b1!4m6!3m5!1s0x3e2efe4c65979c5f:0x35305b893657f4eb!8m2!3d24.8078798!4d46.7797933!16s%2Fg%2F1td4n50n?entry=ttu",24.8079578,46.7630003
42,Al Nadwa,"24.8003229, 46.8535166",0,"https://www.google.com/maps/place/Al+Nadwa,+Riyadh/@24.8003229,46.8535166,13z/data=!3m1!4b1!4m6!3m5!1s0x3e2fab170fbd57bd:0x8eba692b68ef1286!8m2!3d24.8033292!4d46.894362!16s%2Fg%2F1ptvt8h9t?entry=ttu",24.8003229,46.8535166
44,Al Hamra,"24.7756038, 46.7329829",0,"https://www.google.com/maps/place/Al+Hamra,+Riyadh/@24.7756038,46.7329829,14z/data=!3m1!4b1!4m6!3m5!1s0x3e2efe03c5c74059:0x32577608b4d6e9d2!8m2!3d24.778346!4d46.7614326!16s%2Fg%2F11c6d_glhh?entry=ttu",24.7756038,46.7329829
46,Ishbiliyah,"24.7928832, 46.7716409",0,"https://www.google.com/maps/place/Ishbiliyah,+Riyadh/@24.7928832,46.7716409,14z/data=!3m1!4b1!4m6!3m5!1s0x3e2effd16e4395fd:0xc36b47278526459c!8m2!3d24.795665!4d46.7979445!16s%2Fg%2F1tg146bv?entry=ttu",24.7928832,46.7716409
48,Jerusalem,"24.7539725, 46.7338537",0,"https://www.google.com/maps/place/Jerusalem,+Riyadh+13214/@24.7539725,46.7338537,14z/data=!3m1!4b1!4m6!3m5!1s0x3e2f01f3325673d7:0x127a79742d6ce79!8m2!3d24.7572297!4d46.7527165!16s%2Fg%2F1v93zjz_?entry=ttu",24.7539725,46.7338537
50,King Faisal Dt.,"24.7617713, 46.7541285",0,"https://www.google.com/maps/place/King+Faisal+Dt.,+Riyadh/@24.7617713,46.7541285,14z/data=!3m1!4b1!4m6!3m5!1s0x3e2f01c79c443fb7:0x50b09b0c5c5895b2!8m2!3d24.7620265!4d46.7737151!16s%2Fg%2F1tnhwtg5?entry=ttu",24.7617713,46.7541285
52,Alandalus,"24.4681475, 46.2751652",0,"https://www.google.com/maps/place/Alandalus,+Al-Muzahmiya+19655/@24.4681475,46.2751652,16z/data=!3m1!4b1!4m6!3m5!1s0x3e2f2de73fda34e3:0x9cd19c9fcd12f8b!8m2!3d24.4681487!4d46.2810439!16s%2Fg%2F1q648vptj?entry=ttu",24.4681475,46.2751652
